symbol,company,industry_category_id,industry_category_name,industry_sub_category_id,industry_sub_category_name,industry_type_id,industry_type_name,list_date
SZ300305,裕兴股份,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2012-03-29
SZ300306,远方信息,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2012-03-29
SZ300307,慈星股份,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-03-29
SZ300308,中际旭创,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-04-10
SZ300310,宜通世纪,I,信息传输、软件和信息技术服务业,,,63.0,电信、广播电视和卫星传输服务,2012-04-25
SZ300311,ST任子行,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-04-25
SZ300313,*ST天山,A,农、林、牧、渔业,,,3.0,畜牧业,2012-04-25
SZ300314,戴维医疗,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-05-08
SZ300315,掌趣科技,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2012-05-11
SZ300316,晶盛机电,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-05-11
SZ300317,珈伟新能,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2012-05-11
SZ300318,博晖创新,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-05-23
SZ300319,麦捷科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-05-23
SZ300320,海达股份,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2012-06-01
SZ300321,同大股份,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2012-05-23
SZ300322,硕贝德,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-06-08
SZ300323,华灿光电,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-06-01
SZ300324,旋极信息,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-06-08
SZ300326,ST凯利,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-06-13
SZ300327,中颖电子,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-06-13
SZ300328,宜安科技,C,制造业,CF,金属、非金属,33.0,金属制品业,2012-06-19
SZ300329,海伦钢琴,C,制造业,CD,造纸、印刷、文教,24.0,文教、工美、体育和娱乐用品制造业,2012-06-19
SZ300331,苏大维格,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-06-28
SZ300332,天壕能源,D,电力、热力、燃气及水生产和供应业,,,45.0,燃气生产和供应业,2012-06-28
SZ300333,兆日科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-06-28
SZ300334,津膜科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2012-07-05
SZ300335,迪森股份,D,电力、热力、燃气及水生产和供应业,,,44.0,电力、热力生产和供应业,2012-07-10
SZ300337,银邦股份,C,制造业,CF,金属、非金属,32.0,有色金属冶炼和压延加工业,2012-07-18
SZ300338,ST开元,P,教育,,,83.0,教育,2012-07-26
SZ300339,润和软件,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-07-18
SZ300340,科恒股份,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-07-26
SZ300341,麦克奥迪,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2012-07-26
SZ300342,天银机电,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2012-07-26
SZ300343,ST联创,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2012-08-01
SZ300344,ST立方,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-08-01
SZ300345,华民股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2012-08-01
SZ300346,南大光电,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-08-07
SZ300347,泰格医药,M,科学研究和技术服务业,,,73.0,研究和试验发展,2012-08-17
SZ300348,长亮科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-08-17
SZ300349,金卡智能,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-08-17
SZ300350,华鹏飞,G,交通运输、仓储和邮政业,,,58.0,多式联运和运输代理业,2012-08-21
SZ300351,永贵电器,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-09-20
SZ300352,北信源,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2012-09-12
SZ300353,东土科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2012-09-27
SZ300354,东华测试,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2012-09-20
SZ300355,蒙草生态,N,水利、环境和公共设施管理业,,,77.0,生态保护和环境治理业,2012-09-27
SZ300357,我武生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-01-21
SZ300358,楚天科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-01-21
SZ300359,全通教育,P,教育,,,83.0,教育,2014-01-21
SZ300360,炬华科技,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2014-01-21
SZ300363,博腾股份,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-01-29
SZ300364,中文在线,R,文化、体育和娱乐业,,,86.0,新闻和出版业,2015-01-21
SZ300365,恒华科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-23
SZ300366,ST创意,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-27
SZ300368,汇金股份,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-23
SZ300369,绿盟科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-29
SZ300370,安控科技,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2014-01-23
SZ300371,汇中股份,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2014-01-23
SZ300373,扬杰科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-01-23
SZ300374,中铁装配,C,制造业,CF,金属、非金属,30.0,非金属矿物制品业,2015-03-19
SZ300375,鹏翎股份,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2014-01-27
SZ300376,ST易事特,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2014-01-27
SZ300377,赢时胜,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-27
SZ300378,鼎捷数智,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-27
SZ300379,*ST东通,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,
SZ300380,安硕信息,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-28
SZ300381,溢多利,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-01-28
SZ300382,斯莱克,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-01-29
SZ300383,光环新网,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-01-29
SZ300384,三联虹普,M,科学研究和技术服务业,,,74.0,专业技术服务业,2014-08-01
SZ300385,雪浪环境,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-06-26
SZ300386,飞天诚信,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-06-26
SZ300387,富邦科技,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2014-07-02
SZ300388,节能国祯,N,水利、环境和公共设施管理业,,,77.0,生态保护和环境治理业,2014-08-01
SZ300389,艾比森,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-08-01
SZ300390,天华新能,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-07-31
SZ300391,*ST长药,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-08-01
SZ300393,中来股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2014-09-12
SZ300394,天孚通信,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-02-17
SZ300395,菲利华,C,制造业,CF,金属、非金属,30.0,非金属矿物制品业,2014-09-10
SZ300396,迪瑞医疗,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-09-10
SZ300397,天和防务,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-09-10
SZ300398,飞凯材料,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2014-10-09
SZ300399,天利科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2014-10-09
SZ300400,劲拓股份,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-10-10
SZ300401,花园生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-10-09
SZ300402,宝色股份,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-10-10
SZ300403,汉宇集团,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2014-10-30
SZ300404,博济医药,M,科学研究和技术服务业,,,73.0,研究和试验发展,2015-04-24
SZ300405,科隆股份,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2014-10-30
SZ300406,九强生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2014-10-30
SZ300407,凯发电气,C,制造业,CG,专用、通用及交通运输设备,37.0,铁路、船舶、航空航天和其他运输设备制造业,2014-12-03
SZ300408,三环集团,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-12-03
SZ300409,道氏技术,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2014-12-03
SZ300410,正业科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-12-31
SZ300411,金盾股份,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2014-12-31
SZ300412,迦南科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2014-12-31
SZ300413,芒果超媒,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2015-01-21
SZ300414,中光防雷,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-05-13
SZ300415,伊之密,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-01-23
SZ300416,苏试试验,M,科学研究和技术服务业,,,74.0,专业技术服务业,2015-01-22
SZ300417,南华仪器,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2015-01-23
SZ300418,昆仑万维,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2015-01-21
SZ300419,ST浩丰,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-01-22
SZ300420,五洋自控,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2015-02-17
SZ300421,力星股份,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2015-02-17
SZ300422,博世科,N,水利、环境和公共设施管理业,,,77.0,生态保护和环境治理业,2015-02-17
SZ300423,昇辉科技,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-02-17
SZ300424,航新科技,C,制造业,CJ,其他制造业,43.0,金属制品、机械和设备修理业,2015-04-22
SZ300425,中建环能,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-02-16
SZ300426,华智数媒,R,文化、体育和娱乐业,,,87.0,广播、电视、电影和录音制作业,2015-02-17
SZ300427,红相股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-02-17
SZ300428,立中集团,C,制造业,CF,金属、非金属,32.0,有色金属冶炼和压延加工业,2015-03-19
SZ300429,强力新材,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2015-03-24
SZ300430,诚益通,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-03-19
SZ300432,富临精工,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,2015-03-19
SZ300433,蓝思科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-03-18
SZ300434,金石亚药,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-04-24
SZ300435,中泰股份,D,电力、热力、燃气及水生产和供应业,,,45.0,燃气生产和供应业,2015-03-26
SZ300436,广生堂,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-04-22
SZ300437,清水源,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2015-04-23
SZ300438,鹏辉能源,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-04-24
SZ300439,美康生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-04-22
SZ300440,运达科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-04-23
SZ300441,鲍斯股份,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2015-04-23
SZ300442,润泽科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-04-24
SZ300443,金雷股份,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-04-22
SZ300444,双杰电气,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-04-23
SZ300445,康斯特,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2015-04-24
SZ300446,航天智造,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2015-04-23
SZ300447,全信股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-04-22
SZ300448,浩云科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-04-24
SZ300449,汉邦高科,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-04-22
SZ300450,先导智能,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-05-18
SZ300451,创业慧康,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-05-14
SZ300452,山河药辅,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-05-15
SZ300453,三鑫医疗,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-05-15
SZ300454,深信服,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2018-05-16
SZ300455,航天智装,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-05-15
