symbol,REPORT_DATE,quarterly_financial_score_x,industry_type_name,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,NETPROFIT,NETPROFIT_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,BASIC_EPS,roe,roa,gross_margin,profit_margin,debt_to_asset,current_ratio,quick_ratio,debt_to_equity,asset_turnover,inventory_turnover,receivables_turnover,dt_pred,rf_pred,svr_pred,latest_financial_score,quarterly_financial_score_y
SH600711,2025-09-30,4.0,有色金属矿采选业,58845346907.38,35.1620687202,5685797128.05,288.65532738840005,5357470228.86,692.2129232320999,1.529,0.2933544265386825,0.1434336700136217,0.2016886381898709,0.0966227140609638,0.3171113854642098,1.19355119222704,0.67848555934568,0.7065033327818828,1.4844715490306213,5.624958867778465,63.28747254623525,4.0,3.9,3.3701242693835276,3.7567080897945093,4.0
SH600736,2025-09-30,,房地产业,15540945778.28,-131.1584512343,802079185.5400001,-169.07724937159998,-542702571.64,-597.0253008961,0.51,0.0872799411879501,0.0105187072624486,0.1263502072572911,0.0516107061296735,0.5380503926990241,2.6145807603827516,0.7382098725188198,2.3806175412023145,0.2038086290859889,0.3797657054527567,11.98736189204206,2.0,1.8,2.5239945457713473,2.1079981819237825,
SH600790,2025-09-30,1.0,商务服务业,2175842193.25,17.386484293800002,589763682.28,-93.1013366701,558762685.28,-81.2073108093,0.42,0.0969117338116776,0.0454560835259195,0.4429827189352855,0.2710507609924987,0.1746550400812344,0.5749691799299562,0.5737342954822798,0.3377788313741316,0.1677032130788872,264.3729860738827,38.365196875948534,1.0,1.1,2.0199616153871367,1.373320538462379,1.0
SH600918,2025-09-30,,资本市场服务,0.0,0.0,3331193597.21,157.7003314905,2833407488.44,201.8662698392,0.37,0.067063158413525,0.0144125341884057,1.0,0.1374752204375116,0.1821741893869327,,,0.9812881432280074,0.104837323719418,,,4.0,4.25,3.542942949912784,3.9309809833042615,
SH600919,2025-09-30,,货币金融服务,0.0,0.0,92342817000.0,35.965041942999996,88326760000.0,36.909356903,4.65,0.2781881469707702,0.0207990128697709,1.0,0.469569351019628,0.0680033225372797,,,2.0194165576172933,0.044293804151842,0.9366655542999004,,1.0,2.94,3.2468237035332788,2.3956079011777596,
SH600968,2025-09-30,,开采专业及辅助性活动,100291559958.17,21.2725986554,8194604332.52,57.981326400499995,7741998720.86,87.157804133,0.7835000000000001,0.2855682898388539,0.167651455373182,0.151258022800494,0.0817078160509003,0.0521794280824346,1.5970484970696075,1.5183730378874485,0.0859573745485639,2.051841102554283,65.1332068065562,9.5049274890832,3.0,3.53,2.0443006927905945,2.858100230930198,
SH601099,2025-09-30,,资本市场服务,0.0,0.0,570434356.24,206.0648357737,556037759.77,246.5064911545,0.0839999999999999,0.0580846794768765,0.0296920534436352,1.0,0.2019586035215807,0.4972141279580881,,,0.0,0.1470204929420716,,,4.0,4.19,3.715627236943444,3.968542412314482,
SH601108,2025-09-30,,资本市场服务,0.0,0.0,4881161407.940001,16.846343703200002,4698875632.73,24.041220976699996,1.05,0.1322804149142036,0.0333293908898289,1.0,0.3606879949251029,0.2522358951773985,,,0.9160200102621844,0.092405046352457,,,1.0,2.73,3.790151131362845,2.506717043787615,
SH601198,2025-09-30,5.0,资本市场服务,0.0,0.0,3750385576.82,216.5664772088,3791797259.28,159.8952096413,1.158,0.12910765198083,0.0338452257240797,1.0,0.3644534881875116,0.2542475328206805,,,0.4227032065035883,0.0928656929376577,,,5.0,4.45,3.8640539829529437,4.438017994317648,5.0
SH601375,2025-09-30,,资本市场服务,0.0,0.0,892445508.8,172.5081767002,877643015.11,147.69899314510002,0.1973,0.06453586759882,0.0163763720335253,1.0,0.2201293818379233,0.2496418595663042,,,0.4082296624890821,0.0743943034627833,,,4.0,4.27,3.7342696017582995,4.0014232005861,
SH601456,2025-09-30,,资本市场服务,0.0,0.0,3696549971.49,1727.335682162,3605548205.71,1929.1035047877,0.73,0.1037317948005626,0.0258019040967154,1.0,0.2714719561054009,0.2747666755644855,,,0.571286828135138,0.0950444549296194,,,4.0,4.1,3.9549805479508775,4.018326849316959,
SH601899,2025-09-30,4.0,有色金属矿采选业,731235159406.0,29.7759698881,116489175364.0,219.8482562088,89379342313.0,198.7392038584,3.608,0.6190892966300554,0.26486301034793,0.227395357386908,0.1593046694563032,0.3137003102934828,1.1041251741375508,0.7983595639909367,0.6675844347424765,1.662619251851755,16.977261480455113,102.14843696067368,4.0,3.81,3.6191014364014413,3.809700478800481,4.0
SH601949,2025-09-30,1.0,新闻和出版业,9917751361.69,-45.485351266,642816573.7,-469.2003228175,364008931.38,-245.4927504503,0.3442999999999999,0.068121632661037,0.0400157243972125,0.31507147491521,0.064814749861854,0.0193371243140107,2.37134367410603,1.7748963572942118,0.028949809567395,0.6173860808303966,2.802803283424755,12.887131597968338,1.0,1.27,2.1615619779500657,1.4771873259833554,1.0
SH603055,2025-09-30,,纺织业,14491364569.75,29.97800453630001,1544054031.77,47.4998305021,1074223148.79,-10.222467850100005,1.7099999999999995,0.2989017280630078,0.1318167922469676,0.2243720736608377,0.1065499404378477,0.3680029073140541,1.1512259455201057,0.6048247805175644,0.8124623244259409,1.2371362358842273,4.789413832117131,13.193906425970942,1.0,2.24,3.3977350563354105,2.2125783521118034,
SH603127,2025-09-30,3.0,研究和试验发展,3276030026.3100004,-74.92323309220001,108513879.01,336.3621254587,-35708745.260000005,209.8854014812,0.15,0.0138832784431591,0.0114650335761006,0.2509222518652868,0.0331235910960883,0.0,4.437611846557796,3.128054826506637,0.0,0.3461289430497348,1.6077930414146429,19.880175952041444,3.0,3.32,2.539263558932517,2.953087852977506,3.0
SH603219,2025-09-30,2.0,电气机械和器材制造业,6310069701.9,126.3597052715,393715717.33,-56.05758117650001,350850355.08,-84.37158346390001,0.69,0.2438970879153671,0.128876642432676,0.1540859956788173,0.0623948285724086,0.1617214660638092,1.3801078673340892,1.0367986562971772,0.3181123732095508,2.065501987606488,11.209562091192428,8.4382113826317,2.0,1.65,2.7755119162920545,2.1418373054306845,2.0
SH603238,2025-09-30,5.0,纺织业,5528735940.24,117.7053703584,314613001.4,142.9170793395,245631360.24,209.0930291646,1.4700000000000002,0.1836194682140523,0.1048549765363174,0.1536031089057827,0.0569050511365791,0.1858100319320878,1.213443821049376,0.9697046241966686,0.3467706588917321,1.8426303894298004,15.401370577284926,14.237820763698211,5.0,4.53,3.2709570442318965,4.266985681410632,5.0
SH603259,2025-09-30,4.0,研究和试验发展,91012595950.36,53.9761043649,31183621938.810005,257.8923208582,24115538653.859997,70.1451600884,10.8,0.4760162425960714,0.3565228671769051,0.4384622522469886,0.3426297383696005,0.0748434235259679,2.5936938425685403,2.222357071752208,0.0990681356902073,1.0405485200246043,7.718056221540547,11.104656337300693,4.0,4.09,3.89988785412557,3.9966292847085234,4.0
SH603387,2025-09-30,1.0,医药制造业,2394354531.86,-67.0584591857,497181718.65,-100.2239694894,437694655.09,-90.1536589289,1.01,0.1917432520606328,0.1318104736640139,0.7004180999240837,0.2076474941510752,0.1631063600698904,2.1529660058720492,1.9598696892474197,0.2233802276755606,0.6347799871262321,3.854133005369422,6.584972529798406,1.0,1.34,2.898172303247457,1.746057434415819,1.0
SH603393,2025-09-30,,燃气生产和供应业,9036859815.11,15.4144525622,2748690654.54,-4.5683085425,2522058662.36,14.350823792299996,6.36,0.3148120937928962,0.1371248575744072,0.4221778135266516,0.3041643569532943,0.2764496754812092,1.648271155286987,1.6296369298156583,0.5329805986717981,0.4508248729336269,84.21723546672676,9.939634943364364,5.0,2.97,3.4752680005151984,3.815089333505066,
