symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH600535,0.026372975926,0.087971903306,0.143017022256,4.1,13.3,19.9
SH600536,,0.000344149459,0.002021851855,,0.21,1.13
SH600546,0.070408163265,0.21970465944700002,0.333861115005,6.9,31.4,52.230000000000004
SH600547,0.009376362871,0.019962786927,0.025634707718999998,3.2267,6.1267,7.1267
SH600548,0.023149905123,0.121388457708,0.232621533677,2.44,12.56,23.06
SH600549,0.026167339999,0.066091913554,0.086543708232,6.04,13.54,17.64
SH600551,0.044137186117,0.10873236672600001,0.163348401993,4.0,11.5,16.06
SH600552,0.004570383912,0.014442464001,0.034468336638,0.5,1.5,3.0
SH600556,0.001726907631,0.007458996711000001,0.011595413457000001,0.086,0.34099999999999997,0.7050000000000001
SH600557,,0.033307430799999996,0.033307430799999996,,5.9203,5.9203
SH600558,0.02780275383,0.050714119394,0.071128994172,1.5,2.35,3.05
SH600559,0.032544378698,0.066228554274,0.076816638393,5.5,13.0,16.0
SH600560,0.004064109903,0.013720235007,0.025735893685,0.71,2.02,3.17
SH600561,,,0.002434456929,,,0.13
SH600562,0.005198675497,0.024539207341,0.041094310613,1.57,4.35,6.76
SH600563,0.018816445573,0.054217768294999996,0.073223720183,20.0,58.0,87.0
SH600566,0.072143596824,0.138063065483,0.19019232915099998,20.9,42.7,54.0
SH600567,,0.007586206897,0.057882064886,,0.11,1.6100000000000003
SH600569,,,0.057988832539,,,1.6
SH600570,0.00365230095,0.013268974179,0.016837588778,1.0,3.6,5.6
SH600571,0.002539168017,0.029707402082,0.08877059340599999,0.47,3.0700000000000003,7.7700000000000005
SH600572,0.033407572383,0.09352595166800001,0.12808318708900002,1.5,5.0,6.6
SH600573,0.006467259499,0.017356914234,0.025478144079,0.8,1.9,2.63
SH600575,,0.030927835052,0.030927835052,,1.2,1.2
SH600577,0.009589716132,0.075436558359,0.087263337277,0.8,3.7,4.2
